domain_name,agency,domain_canonically_https,domain_canonically_www,domain_downgrades_https,domain_enforces_https,domain_host,domain_hsts,domain_hsts_preload_ready,domain_hsts_subdomains,domain_https,domain_redirect,domain_responds,domain_root,domain_sld,domain_tld,domain_trd,domain_up,domain_www,canonical_endpoint_external_redirect,canonical_endpoint_host,canonical_endpoint_redirect,canonical_endpoint_resolves_to,canonical_endpoint_responds,canonical_endpoint_scheme,canonical_endpoint_timed_out,canonical_endpoint_up,canonical_endpoint_uri,canonical_endpoint_www,content_data_json,content_doctype,content_generator,content_humans_txt,content_proper_404s,content_robots_txt,content_security_txt,content_sitemap_xml,content_vulnerability_disclosure_policy,cookies_cookie?,cookies_secure?,dns_cdn,dns_cloud_provider,dns_dnssec,dns_google_apps,dns_hostname,dns_ip,dns_ipv6,hsts_enabled,hsts_include_subdomains,hsts_max_age,hsts_preload,hsts_preload_list_status,hsts_preload_ready,hsts_valid,https_return_code,https_valid,sniffer_advertising,sniffer_analytics,sniffer_framework,sniffer_javascript,wappalyzer_a/b_testing,wappalyzer_accessibility,wappalyzer_advertising,wappalyzer_analytics,wappalyzer_caching,wappalyzer_cdn,wappalyzer_cms,wappalyzer_comment_systems,wappalyzer_cookie_compliance,wappalyzer_crm,wappalyzer_databases,wappalyzer_ecommerce,wappalyzer_editors,wappalyzer_email,wappalyzer_font_scripts,wappalyzer_hosting_panels,wappalyzer_issue_trackers,wappalyzer_javascript_frameworks,wappalyzer_javascript_graphics,wappalyzer_javascript_libraries,wappalyzer_live_chat,wappalyzer_lms,wappalyzer_load_balancers,wappalyzer_maps,wappalyzer_marketing_automation,wappalyzer_miscellaneous,wappalyzer_mobile_frameworks,wappalyzer_operating_systems,wappalyzer_paas,wappalyzer_page_builders,wappalyzer_programming_languages,wappalyzer_reverse_proxies,wappalyzer_rich_text_editors,wappalyzer_saas,wappalyzer_search_engines,wappalyzer_security,wappalyzer_seo,wappalyzer_social_logins,wappalyzer_ssl/tls_certificate_authorities,wappalyzer_static_site_generator,wappalyzer_tag_managers,wappalyzer_ui_frameworks,wappalyzer_video_players,wappalyzer_web_frameworks,wappalyzer_web_server_extensions,wappalyzer_web_servers,wappalyzer_webmail,wappalyzer_widgets,wellknown_acme_challenge,wellknown_amphtml,wellknown_ashrae,wellknown_assetlinks_json,wellknown_brski,wellknown_caldav,wellknown_carddav,wellknown_coap,wellknown_core,wellknown_csvm,wellknown_dnt,wellknown_dnt_policy_txt,wellknown_dots,wellknown_ecips,wellknown_enterprise_transport_security,wellknown_est,wellknown_genid,wellknown_gs1resolver,wellknown_hoba,wellknown_host_meta,wellknown_host_meta_json,wellknown_hosting_provider,wellknown_http_opportunistic,wellknown_idp_proxy,wellknown_jmap,wellknown_keybase_txt,wellknown_looking_glass,wellknown_matrix,wellknown_mta_sts_txt,wellknown_nfv_oauth_server_configuration,wellknown_ni,wellknown_oauth_authorization_server,wellknown_openid_configuration,wellknown_openorg,wellknown_pki_validation,wellknown_posh,wellknown_pvd,wellknown_reload_config,wellknown_repute_template,wellknown_resourcesync,wellknown_sshfp,wellknown_stun_key,wellknown_thread,wellknown_time,wellknown_timezone,wellknown_tor_relay,wellknown_uma2_configuration,wellknown_void,wellknown_webfinger
tvaoig.gov,Tennessee Valley Authority,false,false,false,false,tvaoig.gov,false,false,false,false,false,false,false,tvaoig,gov,,false,false,false,tvaoig.gov,false,http://tvaoig.gov/,false,http,false,false,http://tvaoig.gov/,false,,,,,,,,,,,,,,false,false,"",,false,false,false,0,false,unknown,false,false,:couldnt_resolve_host,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twai.gov,Department of the Treasury,false,false,false,false,twai.gov,false,false,false,false,false,false,false,twai,gov,,false,false,false,twai.gov,false,http://twai.gov/,false,http,true,false,http://twai.gov/,false,,,,,,,,,,,,,,true,false,"",199.169.192.121,false,false,false,0,false,unknown,false,false,:operation_timedout,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uce.gov,Federal Trade Commission,false,false,false,false,uce.gov,false,false,false,false,false,false,false,uce,gov,,false,false,false,uce.gov,false,http://uce.gov/,false,http,false,false,http://uce.gov/,false,,,,,,,,,,,,,,true,false,"",,false,false,false,0,false,unknown,false,false,:couldnt_resolve_host,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ucia.gov,Central Intelligence Agency,false,false,false,false,ucia.gov,false,false,false,false,false,false,false,ucia,gov,,false,false,false,ucia.gov,false,http://ucia.gov/,false,http,false,false,http://ucia.gov/,false,,,,,,,,,,,,,,true,false,"",,false,false,false,0,false,unknown,false,false,:couldnt_resolve_host,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ucrdatatool.gov,Department of Justice,true,false,false,true,ucrdatatool.gov,false,false,false,true,true,true,true,ucrdatatool,gov,,true,true,true,ucrdatatool.gov,true,https://crime-data-explorer.fr.cloud.gov/,true,https,false,true,https://ucrdatatool.gov/,false,,,,,,,,,,,,,,true,false,"",149.101.82.182,true,false,false,0,false,preloaded,false,false,:ok,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udall.gov,Morris K. Udall and Stewart L. Udall Foundation,true,false,false,true,udall.gov,true,false,false,true,false,true,true,udall,gov,,true,true,false,udall.gov,false,https://udall.gov/,true,https,false,true,https://udall.gov/,false,,-//W3C//DTD HTML 3.2//EN,,,false,,false,,,true,false,,,false,false,"",67.206.168.123,false,true,false,31536000,false,unknown,false,true,:ok,true,,:google_analytics,,,,,,Google Analytics,,,,,,,,,,,,,,,,jQuery,,,,,,,,Windows Server,,,,,,,,,,,,,,Bootstrap,MediaElement.js,Microsoft ASP.NET,,IIS,Microsoft 365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugov.gov,Director of National Intelligence,false,false,false,false,ugov.gov,false,false,false,false,false,false,false,ugov,gov,,false,false,false,ugov.gov,false,http://ugov.gov/,false,http,false,false,http://ugov.gov/,false,,,,,,,,,,,,,,false,false,"",,false,false,false,0,false,unknown,false,false,:couldnt_resolve_host,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unicor.gov,Department of Justice,true,false,false,true,unicor.gov,true,true,true,true,false,true,true,unicor,gov,,true,true,false,unicor.gov,false,https://unicor.gov/,true,https,false,true,https://unicor.gov/,false,false,-//W3C//DTD HTML 4.0 Transitional//EN,,false,true,true,false,false,false,true,true,,,true,false,www.unicor.gov,149.101.82.163,true,true,true,31536000,true,unknown,true,true,:ok,true,,,,,,,,Google Analytics,,,,,,,,Cart Functionality,,,,,,,,jQuery UI and jQuery,,,,,,,,Windows Server,,,,,,,,,,,DigiCert,,,Bootstrap,,Microsoft ASP.NET,,IIS,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
unionreports.gov,Department of Labor,true,true,false,true,www.unionreports.gov,true,true,true,true,true,true,true,unionreports,gov,www,true,true,true,www.unionreports.gov,true,https://www.dol.gov/,true,https,false,true,https://www.unionreports.gov/,true,,,,,,,,,,,,:akamai,,true,false,a104-82-11-120.deploy.static.akamaitechnologies.com,104.82.11.120,true,true,true,31536000,true,preloaded,true,true,:ok,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unlocktalent.gov,Office of Personnel Management,true,false,false,true,unlocktalent.gov,true,true,true,true,false,true,true,unlocktalent,gov,,true,true,false,unlocktalent.gov,false,https://unlocktalent.gov/,true,https,false,true,https://unlocktalent.gov/,false,false,,,false,true,false,false,false,false,false,false,:akamai,,true,false,a104-82-15-69.deploy.static.akamaitechnologies.com,104.82.15.69,true,true,true,31536000,true,preloaded,true,true,:ok,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
